Designator; MPN/Seeed SKU;Qty;Link
J1;6,29105E+11;1;
C1;;1;
U1;MCP73831T-2ACI/OT;1;
R2;;1;
D1;;1;
J2;;1;
R1;;1;
C2;;1;
R3;;1;
D2;;1;
U2;LD1117V33;1;
C3;;1;
C4;;1;
U3;lph7366;1;
S1;EG1218;1;
U4;ESP-12F(ESP8266MOD);1;
SW1;;1;
SW2;;1;
R4;;1;
R5;;1;
R6;;1;
R8;;1;
SW3;;1;
R9;;1;
R10;;1;
R11;;1;
R12;;1;
R13;;1;
R14;;1;
R15;;1;
R16;;1;
S2;EG1218;1;
D3;;1;
D4;;1;
D5;;1;
D6;;1;
C5;;1;
R7;;1;
RV1;TC33X-2-103G ;1;
J4;;1;
J3;;1;
